run_id,ltf,htf,symbols,strategies,error,duration_seconds,candles_processed,m_winning_trades,m_win_rate,m_total_trades,m_total_return_pct,m_sharpe_per_candle,m_profit_factor,m_net_profit_pct,m_net_profit,m_max_win_streak,m_max_loss_streak,m_max_drawdown_pct,m_max_drawdown,m_losing_trades,m_largest_win,m_largest_loss,m_gross_profit,m_gross_loss,m_final_equity,m_expectancy,m_break_even_trades,m_average_win,m_average_trade,m_average_loss
20260809_142644_BTC-USDT-SWAP_15m_require_price_in_va_off,15m,,BTC-USDT-SWAP,mean_reversion,,417.82,1440,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,1000.0,0.0,0,0.0,0.0,0.0
20260809_142644_BTC-USDT-SWAP_15m_require_price_in_va_on,15m,,BTC-USDT-SWAP,mean_reversion,,429.03,1440,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,1000.0,0.0,0,0.0,0.0,0.0
