run_id,ltf,htf,symbols,strategies,error,duration_seconds,candles_processed,m_winning_trades,m_win_rate,m_total_trades,m_total_return_pct,m_sharpe_per_candle,m_profit_factor,m_net_profit_pct,m_net_profit,m_max_win_streak,m_max_loss_streak,m_max_drawdown_pct,m_max_drawdown,m_losing_trades,m_largest_win,m_largest_loss,m_gross_profit,m_gross_loss,m_final_equity,m_expectancy,m_break_even_trades,m_average_win,m_average_trade,m_average_loss
20260809_145258_BICO-USDT-SWAP_15m_require_price_in_va_off,15m,,BICO-USDT-SWAP,mean_reversion,,416.62,1439,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,1000.0,0.0,0,0.0,0.0,0.0
20260809_145258_RE-USDT-SWAP_15m_require_price_in_va_off,15m,,RE-USDT-SWAP,mean_reversion,,417.07,1433,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,1000.0,0.0,0,0.0,0.0,0.0
20260809_145258_LIGHT-USDT-SWAP_15m_require_price_in_va_off,15m,,LIGHT-USDT-SWAP,mean_reversion,,404.25,1426,0,0.0,1,-0.39,-0.003,0.0,-0.39,-3.9037,0,1,2.37,24.0729,1,0.0,-3.9037,0,3.9037,996.0963,-3.9037,0,0.0,-3.9037,-3.9037
20260809_145258_LIGHT-USDT-SWAP_15m_require_price_in_va_on,15m,,LIGHT-USDT-SWAP,mean_reversion,,395.57,1426,0,0.0,1,-0.39,-0.003,0.0,-0.39,-3.9037,0,1,2.37,24.0729,1,0.0,-3.9037,0,3.9037,996.0963,-3.9037,0,0.0,-3.9037,-3.9037
20260809_145258_BSB-USDT-SWAP_15m_require_price_in_va_off,15m,,BSB-USDT-SWAP,mean_reversion,max() iterable argument is empty,30.06,0,,,,,,,,,,,,,,,,,,,,,,,
